PMID,year,phase,journal,title,retrieval_scopes,sentence_count,themes,methods
30626674,2019,2016-2020,Journal of virology,Horizontal Transfer of a Retrotransposon from the Rice Planthopper to the Genome of an Insect DNA Virus.,BPH resistance,1,,
30658494,2019,2016-2020,"Sensors (Basel, Switzerland)",Sensitivity of a Ratio Vegetation Index Derived from Hyperspectral Remote Sensing to the Brown Planthopper Stress on Rice Plants.,BPH resistance,12,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
30658570,2019,2016-2020,BMC plant biology,Proteomic analysis of the rice (Oryza officinalis) provides clues on molecular tagging of proteins for brown planthopper resistance.,BPH damage; BPH resistance,33,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
30692583,2019,2016-2020,Scientific reports,A Disease Resistance Elicitor Laminarin Enhances Tea Defense against a Piercing Herbivore Empoasca (Matsumurasca) onukii Matsuda.,BPH resistance,3,抗源鉴定与表型评价,
30696039,2019,2016-2020,"Plants (Basel, Switzerland)",Tolerance of Iron-Deficient and -Toxic Soil Conditions in Rice.,WBPH resistance,1,生长-防御权衡与育种转化,田间/产量/育种评价
30715410,2019,2016-2020,Journal of experimental botany,Honeydew-associated microbes elicit defense responses against brown planthopper in rice.,BPH resistance,6,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
30734457,2019,2016-2020,Plant biotechnology journal,The OsmiR396-OsGRF8-OsF3H-flavonoid pathway mediates resistance to the brown planthopper in rice (Oryza sativa).,BPH damage; BPH resistance,23,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
30739972,2019,2016-2020,"Crop protection (Guildford, Surrey)",Unanticipated benefits and potential ecological costs associated with pyramiding leafhopper resistance loci in rice.,BPH resistance; WBPH resistance,5,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 转基因/RNAi/突变体; 田间/产量/育种评价
30743158,2019,2016-2020,Journal of molecular graphics & modelling,Computational approach to understand molecular mechanism involved in BPH resistance in Bt- rice plant.,BPH resistance,4,抗源鉴定与表型评价; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
30791475,2019,2016-2020,Insects,Influence of Abscisic Acid-Biosynthesis Inhibitor Fluridone on the Feeding Behavior and Fecundity of Nilaparvata lugens.,BPH resistance,15,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 昆虫侧适应、毒力与药剂抗性,
30796339,2019,2016-2020,Scientific reports,Epistatic interactions of major effect drought QTLs with genetic background loci determine grain yield of rice under drought stress.,BPH damage; BPH resistance,2,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
30796564,2019,2016-2020,"Rice (New York, N.Y.)",OsHLH61-OsbHLH96 influences rice defense to brown planthopper through regulating the pathogen-related genes.,BPH damage; BPH resistance,8,抗源鉴定与表型评价; 激素、转录与免疫信号; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
30804810,2019,2016-2020,Frontiers in physiology,"Effects of Fungicide Propiconazole on the Yeast-Like Symbiotes in Brown Planthopper (BPH, Nilaparvata lugens Stål) and Its Role in Controlling BPH Infestation.",BPH resistance,7,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
30888525,2019,2016-2020,"Rice (New York, N.Y.)","Identification of spontaneous mutation for broad-spectrum brown planthopper resistance in a large, long-term fast neutron mutagenized rice population.",BPH resistance,29,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 转基因/RNAi/突变体; 田间/产量/育种评价
30893760,2019,2016-2020,International journal of molecular sciences,"The Desaturase Gene Family is Crucially Required for Fatty Acid Metabolism and Survival of the Brown Planthopper, Nilaparvata lugens.",BPH resistance,9,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 组学与系统网络; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
30976994,2019,2016-2020,Metabolomics : Official journal of the Metabolomic Society,Comparative metabolomics analysis of different resistant rice varieties in response to the brown planthopper Nilaparvata lugens Hemiptera: Delphacidae.,BPH resistance,57,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 表达组学/多组学; 田间/产量/育种评价
31013593,2019,2016-2020,Viruses,Nitric Oxide as a Downstream Signaling Molecule in Brassinosteroid-Mediated Virus Susceptibility to Maize Chlorotic Mottle Virus in Maize.,BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号,
31024591,2019,2016-2020,Frontiers in plant science,Overexpression of Arabidopsis Nucleotide-Binding and Leucine-Rich Repeat Genes RPS2 and RPM1(D505V) Confers Broad-Spectrum Disease Resistance in Rice.,BPH resistance,4,抗源鉴定与表型评价; 主效抗性基因与受体识别; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体
31069883,2019,2016-2020,Insect molecular biology,"The MTase15 regulates reproduction in the wing-dimorphic planthopper, Nilaparvata lugens (Hemiptera: Delphacidae).",BPH resistance,1,,
31072035,2019,2016-2020,Toxins,"Interactive Effects of [CO(2)] and Temperature on Plant Chemistry of Transgenic Bt Rice and Population Dynamics of a Non-Target Planthopper, Nilaparvata lugens (Stål) under Different Levels of Soil Nitrogen.",BPH damage; Broad planthopper,4,抗源鉴定与表型评价; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
31086482,2019,2016-2020,Breeding science,Development of molecular marker and introgression of Bph3 into elite rice cultivars by marker-assisted selection.,BPH resistance,30,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 转基因/RNAi/突变体; 田间/产量/育种评价
31095858,2019,2016-2020,Pest management science,Current understanding of the molecular players involved in resistance to rice planthoppers.,BPH resistance,1,抗源鉴定与表型评价; 宿主-昆虫互作与效应子,
31113376,2019,2016-2020,BMC genomics,Identification of genes underlying phenotypic plasticity of wing size via insulin signaling pathway by network-based analysis in Sogatella furcifera.,BPH resistance,1,激素、转录与免疫信号; 组学与系统网络; 宿主-昆虫互作与效应子,
31143556,2019,2016-2020,PeerJ,Dissection of three quantitative trait loci for grain size on the long arm of chromosome 10 in rice (Oryza sativa L.).,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
31156451,2019,2016-2020,Frontiers in physiology,A Mucin-Like Protein Is Essential for Oviposition in Nilaparvata lugens.,BPH resistance,2,抗源鉴定与表型评价; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性,转基因/RNAi/突变体
31159719,2019,2016-2020,BMC genomics,Application of high-throughput amplicon sequencing-based SSR genotyping in genetic background screening.,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别,连锁/QTL/标记育种
31165331,2019,2016-2020,"Rice (New York, N.Y.)",High-resolution mapping and breeding application of a novel brown planthopper resistance gene derived from wild rice (Oryza. rufipogon Griff).,BPH resistance,27,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
31166075,2019,2016-2020,Pest management science,Removing constraints to sustainable food production: new ways to exploit secondary metabolism from companion planting and GM.,BPH damage,1,代谢、挥发物与结构防御,
31226788,2019,2016-2020,International journal of molecular sciences,"Molecular Characterization of Ca(2+)/Calmodulin-Dependent Protein Kinase II Isoforms in Three Rice Planthoppers-Nilaparvata lugens, Laodelphax striatellus, and Sogatella furcifera.",BPH resistance; Broad planthopper,3,抗源鉴定与表型评价; 主效抗性基因与受体识别; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,CRISPR/精准编辑; 田间/产量/育种评价
31226870,2019,2016-2020,International journal of molecular sciences,"OsMKK3, a Stress-Responsive Protein Kinase, Positively Regulates Rice Resistance to Nilaparvata lugens via Phytohormone Dynamics.",BPH resistance,23,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
31234788,2019,2016-2020,BMC microbiology,A comparative study of microbial community and dynamics of Asaia in the brown planthopper from susceptible and resistant rice varieties.,BPH resistance,21,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
31242182,2019,2016-2020,PLoS genetics,miR-34 modulates wing polyphenism in planthopper.,BPH resistance,2,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
31247402,2019,2016-2020,Virology,Immune function of an angiotensin-converting enzyme against Rice stripe virus infection in a vector insect.,Broad planthopper,1,激素、转录与免疫信号,
31293435,2019,2016-2020,Frontiers in physiology,Jinggangmycin-Induced UDP-Glycosyltransferase 1-2-Like Is a Positive Modulator of Fecundity and Population Growth in Nilaparvata lugens (Stål) (Hemiptera: Delphacidae).,BPH resistance,1,基因编辑与功能验证,转基因/RNAi/突变体
31297040,2019,2016-2020,Hereditas,Mapping and characterization of a quantitative trait locus resistance to the brown planthopper in the rice variety IR64.,BPH resistance,18,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
31358562,2019,2016-2020,"G3 (Bethesda, Md.)",QTG-Finder: A Machine-Learning Based Algorithm To Prioritize Causal Genes of Quantitative Trait Loci in Arabidopsis and Rice.,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别,
31367224,2019,2016-2020,Plant methods,Methodology: ssb-MASS: a single seed-based sampling strategy for marker-assisted selection in rice.,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
31381594,2019,2016-2020,PloS one,"Isolation, cloning and expression of CCA1 gene in transgenic progeny plants of Japonica rice exhibiting altered morphological traits.",BPH resistance,1,抗源鉴定与表型评价; 基因编辑与功能验证,转基因/RNAi/突变体
31382588,2019,2016-2020,Cells,Overexpression of MiR482c in Tomato Induces Enhanced Susceptibility to Late Blight.,BPH resistance,1,抗源鉴定与表型评价; 组学与系统网络; 基因编辑与功能验证,转基因/RNAi/突变体
31449847,2019,2016-2020,Insect biochemistry and molecular biology,"Identification of novel antimicrobial peptides from rice planthopper, Nilaparvata lugens.",BPH damage,1,,
31464583,2019,2016-2020,BMC genomics,Combining next-generation sequencing and single-molecule sequencing to explore brown plant hopper responses to contrasting genotypes of japonica rice.,BPH resistance,40,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
31468345,2019,2016-2020,Botanical studies,Genomic and phenotypic evaluation of rice susceptible check TN1 collected in Taiwan.,BPH damage,1,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
31491008,2019,2016-2020,PloS one,Temporary inhibition of positive phototaxis in emigratory population of  Nilaparvata lugens by mark-release-recapture.,BPH resistance,1,,
31502096,2019,2016-2020,"Rice (New York, N.Y.)",Improving rice blast resistance of Feng39S through molecular marker-assisted backcrossing.,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析,连锁/QTL/标记育种
31521227,2019,2016-2020,Plant science : an international journal of experimental plant biology,Directional upgrading of brown planthopper resistance in an elite rice cultivar by precise introgression of two resistance genes using genomics-based breeding.,BPH resistance,3,抗源鉴定与表型评价; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
31540185,2019,2016-2020,International journal of molecular sciences,Transcriptome Analysis of Sogatella furcifera (Homoptera: Delphacidae) in Response to Sulfoxaflor and Functional Verification of Resistance-Related P450 Genes.,WBPH resistance,1,抗源鉴定与表型评价; 组学与系统网络; 基因编辑与功能验证; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
31575938,2019,2016-2020,Scientific reports,Phenotypic and transcriptomic responses of two Nilaparvata lugens populations to the Mudgo rice containing Bph1.,BPH resistance,33,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性,表达组学/多组学; 转基因/RNAi/突变体
31581452,2019,2016-2020,Insects,"Effects of Vegetation Strips, Fertilizer Levels and Varietal Resistance on the Integrated Management of Arthropod Biodiversity in a Tropical Rice Ecosystem.",BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
31597380,2019,2016-2020,Insects,"Effects of Insecticide Stress on Expression of NlABCG Transporter Gene in the Brown Planthopper, Nilaparvata lugens.",BPH resistance,2,抗源鉴定与表型评价; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
31598076,2019,2016-2020,Breeding science,"High-resolution mapping of GRH6, a gene from Oryza nivara (Sharma et Shastry) conferring resistance to green rice leafhopper (Nephotettix cincticeps Uhler).",BPH resistance,3,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性,连锁/QTL/标记育种
31611805,2019,2016-2020,Frontiers in physiology,Male Selenoprotein F-Like (SPF-L) Influences Female Reproduction and Population Growth in Nilaparvata lugens (Hemiptera: Delphacidae).,BPH resistance,2,抗源鉴定与表型评价; 昆虫侧适应、毒力与药剂抗性,
31620015,2019,2016-2020,Frontiers in physiology,Vitellogenin and Vitellogenin-Like Genes in the Brown Planthopper.,BPH resistance,5,抗源鉴定与表型评价; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
31620116,2019,2016-2020,Frontiers in microbiology,"Characterization of a Bacterial Symbiont Asaia sp. in the White-Backed Planthopper, Sogatella furcifera, and Its Effects on Host Fitness.",WBPH resistance,1,生长-防御权衡与育种转化,田间/产量/育种评价
31689985,2019,2016-2020,Genes,Determination of Suitable RT-qPCR Reference Genes for Studies of Gene Functions in Laodelphax striatellus (Fallén).,Broad planthopper,1,,
31695897,2019,2016-2020,Ecology and evolution,Microbiome responses during virulence adaptation by a phloem-feeding insect to resistant near-isogenic rice lines.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子,
31697693,2019,2016-2020,PloS one,"Molecular characteristics of segment 5, a unique fragment encoding two partially overlapping ORFs in the genome of rice black-streaked dwarf virus.",BPH damage,1,,
31700122,2019,2016-2020,Scientific reports,Comparison of upper sublethal and lethal temperatures in three species of rice planthoppers.,BPH resistance,2,宿主-昆虫互作与效应子,
31708946,2019,2016-2020,Frontiers in plant science,Management of Pest Insects and Plant Diseases by Non-Transformative RNAi.,BPH resistance,1,基因编辑与功能验证; 昆虫侧适应、毒力与药剂抗性,转基因/RNAi/突变体
31726710,2019,2016-2020,"Plants (Basel, Switzerland)",The Development and Characterization of Near-Isogenic and Pyramided Lines Carrying Resistance Genes to Brown Planthopper with the Genetic Background of Japonica Rice (Oryza sativa L.).,BPH resistance,21,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
31740845,2019,2016-2020,Nature ecology & evolution,Genomic basis of European ash tree resistance to ash dieback fungus.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别,
31771593,2019,2016-2020,Virology journal,Symptoms and yield loss caused by rice stripe mosaic virus.,BPH damage,1,生长-防御权衡与育种转化,田间/产量/育种评价
31819024,2019,2016-2020,Journal of genetics,Genetics of novel brown planthopper Nilaparvata lugens (Stål) resistance genes in derived introgression lines from the interspecific cross O. sativa var. Swarna × O. nivara.,BPH damage; BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
31836628,2019,2016-2020,Life science alliance,Metabolome-based prediction of yield heterosis contributes to the breeding of elite rice.,BPH resistance,2,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 组学与系统网络; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
31850073,2019,2016-2020,Frontiers in genetics,GWAS-Assisted Genomic Prediction to Predict Resistance to Septoria Tritici Blotch in Nordic Winter Wheat at Seedling Stage.,BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 激素、转录与免疫信号,GWAS/群体基因组/基因组预测
31861560,2019,2016-2020,"Molecules (Basel, Switzerland)","α-Ionone, an Apocarotenoid, Induces Plant Resistance to Western Flower Thrips, Frankliniella occidentalis, Independently of Jasmonic Acid.",BPH damage,1,抗源鉴定与表型评价; 激素、转录与免疫信号; 宿主-昆虫互作与效应子,
31885402,2019,2016-2020,Euphytica: Netherlands journal of plant breeding,"Identification of a novel locus, BPH38(t), conferring resistance to brown planthopper (Nilaparvata lugens Stal.) using early backcross population in rice (Oryza sativa L.).",BPH resistance,16,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 激素、转录与免疫信号; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
28993285,2018,2016-2020,Gene,Insulin-like peptides and DNA/tRNA methyltransferases are involved in the nutritional regulation of female reproduction in Nilaparvata lugens (Stål).,BPH damage,1,,
29321899,2018,2016-2020,Ecology and evolution,Silicon amendment to rice plants contributes to reduced feeding in a phloem-sucking insect through modulation of callose deposition.,BPH damage; BPH resistance,12,抗源鉴定与表型评价,
29348442,2018,2016-2020,Scientific reports,"A neutral ceramidase, NlnCDase, is involved in the stress responses of brown planthopper, Nilaparvata lugens (Stål).",BPH damage; BPH resistance,9,抗源鉴定与表型评价; 组学与系统网络; 基因编辑与功能验证; 昆虫侧适应、毒力与药剂抗性,表达组学/多组学; 转基因/RNAi/突变体
29358653,2018,2016-2020,Nature genetics,Bph6 encodes an exocyst-localized protein and confers broad resistance to planthoppers in rice.,BPH resistance,2,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别,
29373714,2018,2016-2020,Journal of experimental botany,"Corrigendum: Map-based cloning and characterization of BPH29, a B3 domain-containing recessive gene conferring brown planthopper resistance in rice.",BPH resistance,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别,
29415259,2018,2016-2020,Journal of insect science (Online),"Analysis of Homologs of Cry-toxin Receptor-Related Proteins in the Midgut of a Non-Bt Target, Nilaparvata lugens (Stål) (Hemiptera: Delphacidae).",BPH resistance,1,抗源鉴定与表型评价; 基因编辑与功能验证,转基因/RNAi/突变体
29425132,2018,2016-2020,Insects,Preliminary Investigation of Species Diversity of Rice Hopper Parasitoids in Southeast Asia.,BPH resistance,1,抗源鉴定与表型评价,
29467785,2018,2016-2020,Frontiers in plant science,Morphological and Molecular Data Reveal Three Distinct Populations of Indian Wild Rice Oryza rufipogon Griff. Species Complex.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
29476225,2018,2016-2020,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,"High-resolution genetic mapping of a novel brown planthopper resistance locus, Bph34 in Oryza sativa L. X Oryza nivara (Sharma & Shastry) derived interspecific F(2) population.",BPH resistance,6,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别,连锁/QTL/标记育种
29478160,2018,2016-2020,Environmental science and pollution research international,An update of the Worldwide Integrated Assessment (WIA) on systemic insecticides. Part 3: alternatives to systemic insecticides.,Broad planthopper,1,抗源鉴定与表型评价; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
29503500,2018,2016-2020,Field crops research,"Resistance and tolerance to the brown planthopper, Nilaparvata lugens (Stål), in rice infested at different growth stages across a gradient of nitrogen applications.",BPH damage; BPH resistance; Broad planthopper,8,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
29545538,2018,2016-2020,Scientific reports,The evolution of insecticide resistance in the brown planthopper (Nilaparvata lugens Stål) of China in the period 2012-2016.,BPH resistance,3,抗源鉴定与表型评价; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
29593771,2018,2016-2020,Frontiers in plant science,Checkmite!? Is the Resistance to Phytophagous Mites on Short and Stocky Wild Oryza Species?,BPH resistance,1,抗源鉴定与表型评价; 生长-防御权衡与育种转化,田间/产量/育种评价
29619515,2018,2016-2020,Plant cell reports,OsEXPA10 mediates the balance between growth and resistance to biotic stress in rice.,BPH resistance,2,抗源鉴定与表型评价; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
29629479,2018,2016-2020,"Rice (New York, N.Y.)",IR64: a high-quality and high-yielding mega variety.,BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
29633040,2018,2016-2020,"Rice (New York, N.Y.)",Thai Hom Mali Rice: Origin and Breeding for Subsistence Rainfed Lowland Rice System.,BPH resistance,1,宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
29644569,2018,2016-2020,"Rice (New York, N.Y.)",Evaluation and breeding application of six brown planthopper resistance genes in rice maintainer line Jin 23B.,BPH resistance,17,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
29692082,2018,2016-2020,Ying yong sheng tai xue bao = The journal of applied ecology,"[Double-ambient CO(2) concentration affects the growth, development and sucking behavior of non-target brown plant hopper Nilaparvata lugens fed on transgenic Bt rice].",Broad planthopper,1,基因编辑与功能验证,转基因/RNAi/突变体
29695083,2018,2016-2020,International journal of molecular sciences,The Commonly Used Bactericide Bismerthiazol Promotes Rice Defenses against Herbivores.,BPH resistance; WBPH resistance,10,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 生长-防御权衡与育种转化,田间/产量/育种评价
29696029,2018,2016-2020,Frontiers in plant science,Nuclear Signaling of Plant MAPKs.,BPH damage,1,激素、转录与免疫信号,
29706901,2018,2016-2020,Frontiers in physiology,Silencing of Chemosensory Protein Gene NlugCSP8 by RNAi Induces Declining Behavioral Responses of Nilaparvata lugens.,BPH resistance,2,抗源鉴定与表型评价; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
29713976,2018,2016-2020,Environmental science and pollution research international,The combined effect of Bassa 50EC and Vitashield 40EC on the brain acetylcholinesterase activity in climbing perch (Anabas testudineus).,BPH damage,1,昆虫侧适应、毒力与药剂抗性,
29751577,2018,2016-2020,International journal of molecular sciences,Plant Perception and Short-Term Responses to Phytophagous Insects and Mites.,BPH damage,1,,
29845495,2018,2016-2020,"Rice (New York, N.Y.)",Marker-assisted selection strategy to pyramid two or more QTLs for quantitative trait-grain yield under drought.,BPH damage,1,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
29855556,2018,2016-2020,Scientific reports,Expression of hybrid fusion protein (Cry1Ac::ASAL) in transgenic rice plants imparts resistance against multiple insect pests.,BPH damage; BPH resistance,13,抗源鉴定与表型评价; 基因编辑与功能验证,转基因/RNAi/突变体
29856853,2018,2016-2020,PloS one,Resistance to Nilaparvata lugens in rice lines introgressed with the resistance genes Bph14 and Bph15 and related resistance types.,BPH resistance,27,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 田间/产量/育种评价
29893903,2018,2016-2020,Journal of experimental botany,Brassinosteroids mediate susceptibility to brown planthopper by integrating with the salicylic acid and jasmonic acid pathways in rice.,BPH resistance,11,抗源鉴定与表型评价; 主效抗性基因与受体识别; 激素、转录与免疫信号; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,田间/产量/育种评价
29896209,2018,2016-2020,Frontiers in plant science,"Schaftoside Interacts With NlCDK1 Protein: A Mechanism of Rice Resistance to Brown Planthopper, Nilaparvata lugens.",BPH resistance,24,抗源鉴定与表型评价; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 组学与系统网络; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
29899498,2018,2016-2020,Scientific reports,A virus plays a role in partially suppressing plant defenses induced by the viruliferous vectors.,Broad planthopper; WBPH resistance,5,激素、转录与免疫信号,
29934776,2018,2016-2020,Planta,Silencing of miR156 confers enhanced resistance to brown planthopper in rice.,BPH damage; BPH resistance,4,抗源鉴定与表型评价; 组学与系统网络; 基因编辑与功能验证; 生长-防御权衡与育种转化,转基因/RNAi/突变体; 田间/产量/育种评价
29949918,2018,2016-2020,Viruses,Metabolomic Changes in Sogatella furcifera under Southern rice black-streaked dwarf virus Infection and Temperature Stress.,WBPH resistance,1,代谢、挥发物与结构防御; 组学与系统网络,表达组学/多组学
29974251,2018,2016-2020,Molecular genetics and genomics : MGG,"Developing japonica rice introgression lines with multiple resistance genes for brown planthopper, bacterial blight, rice blast, and rice stripe virus using molecular breeding.",BPH resistance,1,抗源鉴定与表型评价; 主效抗性基因与受体识别; 生长-防御权衡与育种转化,田间/产量/育种评价
